Dataset Name,Observation Date,Series Key,Series Display Name,Observation Value,Unit,Observation Status,Observation Status Comment,Sequence No.,Series name
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),9472.17,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),17189.3,Million USD,Normal,,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),17269.86,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),299.34,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),16889.97,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),70.69,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),9.7,Million USD,Normal,,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.16,Million USD,Normal,,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4920.51,Million USD,Normal,,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2918.84,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),6761.37,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),226.84,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),87.34,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1840.85,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),18.19,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-May-26,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2297.66,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-26,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),9607.7,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-26,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),15850.7,Million USD,Normal,,2,Net Reserves with SBP
